time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.111000,-0.513220,-0.504173,0.856121,0.999924,0.004776,-0.011320,0.001026,
0.113000,-0.513219,-0.504172,0.856096,0.999924,0.004776,-0.011320,0.001026,
0.113000,-0.513217,-0.504171,0.856071,0.999924,0.004776,-0.011320,0.001026,
0.114000,-0.513215,-0.504171,0.856046,0.999924,0.004776,-0.011320,0.001026,
0.115000,-0.513213,-0.504170,0.856021,0.999924,0.004776,-0.011320,0.001026,
0.117000,-0.513211,-0.504170,0.855996,0.999924,0.004776,-0.011320,0.001026,
0.117000,-0.513209,-0.504169,0.855971,0.999924,0.004776,-0.011320,0.001026,
0.118000,-0.513207,-0.504168,0.855941,0.999924,0.004776,-0.011320,0.001026,
0.119000,-0.513204,-0.504168,0.855911,0.999924,0.004776,-0.011320,0.001026,
0.120000,-0.513202,-0.504167,0.855881,0.999924,0.004776,-0.011320,0.001026,
0.121000,-0.513200,-0.504166,0.855851,0.999924,0.004776,-0.011320,0.001026,
0.122000,-0.513197,-0.504165,0.855821,0.999924,0.004776,-0.011320,0.001026,
0.123000,-0.513195,-0.504165,0.855792,0.999924,0.004776,-0.011320,0.001026,
0.124000,-0.513193,-0.504164,0.855763,0.999924,0.004776,-0.011320,0.001026,
0.125000,-0.513191,-0.504163,0.855733,0.999924,0.004776,-0.011320,0.001026,
0.126000,-0.513188,-0.504163,0.855704,0.999924,0.004776,-0.011320,0.001026,
0.127000,-0.513186,-0.504162,0.855669,0.999924,0.004776,-0.011320,0.001026,
0.128000,-0.513183,-0.504161,0.855634,0.999924,0.004776,-0.011320,0.001026,
0.129000,-0.513180,-0.504160,0.855599,0.999924,0.004776,-0.011320,0.001026,
0.131000,-0.513178,-0.504159,0.855565,0.999924,0.004776,-0.011320,0.001026,
0.131000,-0.513175,-0.504158,0.855530,0.999924,0.004776,-0.011320,0.001026,
0.133000,-0.513172,-0.504158,0.855496,0.999924,0.004776,-0.011320,0.001026,
0.134000,-0.513170,-0.504157,0.855462,0.999924,0.004776,-0.011320,0.001026,
0.134000,-0.513167,-0.504156,0.855428,0.999924,0.004776,-0.011320,0.001026,
0.135000,-0.513165,-0.504155,0.855394,0.999924,0.004776,-0.011320,0.001026,
0.136000,-0.513162,-0.504154,0.855360,0.999924,0.004776,-0.011320,0.001026,
0.137000,-0.513159,-0.504153,0.855327,0.999924,0.004776,-0.011320,0.001026,
0.139000,-0.513156,-0.504152,0.855287,0.999924,0.004776,-0.011320,0.001026,
0.139000,-0.513153,-0.504151,0.855247,0.999924,0.004776,-0.011320,0.001026,
0.140000,-0.513150,-0.504151,0.855208,0.999924,0.004776,-0.011320,0.001026,
0.142000,-0.513147,-0.504150,0.855168,0.999924,0.004776,-0.011320,0.001026,
0.142000,-0.513144,-0.504149,0.855129,0.999924,0.004776,-0.011320,0.001026,
0.143000,-0.513141,-0.504148,0.855090,0.999924,0.004776,-0.011320,0.001026,
0.144000,-0.513138,-0.504147,0.855051,0.999924,0.004776,-0.011320,0.001026,
0.145000,-0.513135,-0.504146,0.855013,0.999924,0.004776,-0.011320,0.001026,
0.146000,-0.513132,-0.504145,0.854974,0.999924,0.004776,-0.011320,0.001026,
0.148000,-0.513129,-0.504144,0.854929,0.999924,0.004776,-0.011320,0.001026,
0.148000,-0.513125,-0.504143,0.854883,0.999924,0.004776,-0.011320,0.001026,
0.148000,-0.513122,-0.504142,0.854838,0.999924,0.004776,-0.011320,0.001026,
0.151000,-0.513118,-0.504141,0.854794,0.999924,0.004776,-0.011320,0.001026,
0.152000,-0.513115,-0.504139,0.854749,0.999924,0.004776,-0.011320,0.001026,
0.152000,-0.513112,-0.504138,0.854705,0.999924,0.004776,-0.011320,0.001026,
0.153000,-0.513108,-0.504137,0.854661,0.999924,0.004776,-0.011320,0.001026,
0.155000,-0.513105,-0.504136,0.854617,0.999924,0.004776,-0.011320,0.001026,
0.155000,-0.513102,-0.504135,0.854573,0.999924,0.004776,-0.011320,0.001026,
0.156000,-0.513098,-0.504134,0.854530,0.999924,0.004776,-0.011320,0.001026,
0.157000,-0.513094,-0.504133,0.854479,0.999924,0.004776,-0.011320,0.001026,
0.158000,-0.513090,-0.504132,0.854428,0.999924,0.004776,-0.011320,0.001026,
0.159000,-0.513087,-0.504130,0.854377,0.999924,0.004776,-0.011320,0.001026,
0.160000,-0.513083,-0.504129,0.854327,0.999924,0.004776,-0.011320,0.001026,
0.161000,-0.513079,-0.504128,0.854277,0.999924,0.004776,-0.011320,0.001026,
0.162000,-0.513075,-0.504127,0.854228,0.999924,0.004776,-0.011320,0.001026,
0.163000,-0.513071,-0.504126,0.854178,0.999924,0.004776,-0.011320,0.001026,
0.165000,-0.513067,-0.504124,0.854129,0.999924,0.004776,-0.011320,0.001026,
0.165000,-0.513064,-0.504123,0.854080,0.999924,0.004776,-0.011320,0.001026,
0.166000,-0.513060,-0.504122,0.854031,0.999924,0.004776,-0.011320,0.001026,
0.167000,-0.513056,-0.504121,0.853975,0.999924,0.004776,-0.011320,0.001026,
0.168000,-0.513051,-0.504119,0.853918,0.999924,0.004776,-0.011320,0.001026,
0.169000,-0.513047,-0.504118,0.853862,0.999924,0.004776,-0.011320,0.001026,
